PlayerId|Position|Player|Salary
1|SF|Trevor Ariza|5543.6097855006
2|PF|Trevor Booker|4574.85354863661
3|PF/C|Emeka Okafor|3264.92994311918
4|SG|Bradley Beal|7787.60995812429
5|PG|A.J. Price|NA
6|PF|Jan Vesely|NA
7|SF|Martell Webster|NA
8|SG|Jordan Crawford|4066.35493612918
9|SF|Chris Singleton|NA
10|PG|Jannero Pargo|NA
11|C/PF|Earl Barron|NA
12|SG/SF|Alonzo Gee|2933.47974456847
13|PF/C|Tristan Thompson|4556.40348852662
14|PF/C|Anderson Varejao|3267.85845109262
15|SG|Dion Waiters|5780.36944471165
16|PG|Kyrie Irving|8008.31305270037
17|SG/SF|CJ Miles|3748.41371561972
18|C|Tyler Zeller|3242.28249125232
19|PG|Daniel Gibson|NA
20|PF|Luke Walton|NA
21|PG|Donald Sloan|NA
22|SF|Paul Pierce|2989.0760292561
23|PF|Brandon Bass|2841.94735565065
24|PF|Kevin Garnett|NA
25|SG|Courtney Lee|4764.4119019849
26|PG|Rajon Rondo|5129.18211849531
27|PF|Jared Sullinger|3149.57607700489
28|PG/SG|Jason Terry|2900.90010825009
29|SF|Jeff Green|3976.21734687181
30|PG/SG|Leandro Barbosa|3031.63158980045
31|SG/SF|LeBron James|9709.7672593578
32|SF|Shane Battier|NA
33|C|Chris Bosh|NA
34|PG/SG|Dwyane Wade|6358.39253638818
35|PG|Mario Chalmers|4403.65493655274
36|SG|Ray Allen|NA
37|PF|Udonis Haslem|3018.27391795814
38|SF|Rashard Lewis|NA
39|PG|Norris Cole|2635.75893975794
40|SF|Mike Miller|3172.61435589753
41|SF|Shawn Marion|NA
42|PF|Elton Brand|NA
43|PF|Brandan Wright|3243.50049280472
44|SG|O.J. Mayo|NA
45|PG|Darren Collison|5801.22016198153
46|SF/SG|Vince Carter|3186.62061799291
47|C|Eddy Curry|NA
48|SF|Jae Crowder|5192.14846098465
49|PG|Rodrigue Beaubois|NA
50|SG/SF|Dahntay Jones|1958.75774715096
51|SF|Metta World Peace|2740.41466120705
52|C/PF|Pau Gasol|5127.68915542667
53|PF/C|Dwight Howard|6628.03681495638
54|SG|Kobe Bryant|NA
55|PG|Steve Nash|NA
56|PG|Steve Blake|NA
57|SG|Jodie Meeks|3348.55625217334
58|SF|Antawn Jamison|NA
59|PF/C|Jordan Hill|3087.50573163852
60|SG|Gerald Green|3644.68626413629
61|PF|David West|3525.58794280732
62|C|Roy Hibbert|3272.4631361543
63|SG/SF|Paul George|8304.36573729673
64|PG|George Hill|5644.27037294023
65|PF|Tyler Hansbrough|NA
66|SF|Sam Young|NA
67|PG|D.J. Augustin|3861.00087162107
68|C|Ian Mahinmi|3398.3041340536
69|SG|Lance Stephenson|4247.52661150968
70|SG/SF|Landry Fields|NA
71|PF/C|Andrea Bargnani|NA
72|C|Jonas Valanciunas|5746.31133716081
73|SG|DeMar DeRozan|7947.66229233501
74|PG|Kyle Lowry|8428.683373181
75|SG/SF|Terrence Ross|4099.84840492345
76|PF|Ed Davis|3766.33083653443
77|SG/PG|Jose Calderon|3343.19847025228
78|SF/PF|Amir Johnson|3809.09974353202
79|SF/SG|Alan Anderson|2715.36026867107
80|C|Aaron Gray|NA
81|PG|John Lucas III|3070.96407646313
82|SF/G-F|Jordan Hamilton|NA
83|PF|Kenneth Faried|4224.06037977386
84|C|Kosta Koufos|3780.59596986805
85|SG/SF|Andre Iguodala|4372.24560145266
86|PG|Ty Lawson|4508.82160371473
87|PG|Andre Miller|NA
88|SF|Corey Brewer|3216.16865786663
89|C|JaVale McGee|3180.68618836367
90|SF|Wilson Chandler|5755.13987208108
91|SG|Evan Fournier|5419.09662834601
92|SG|Evan Turner|4124.60190484562
93|PF|Thaddeus Young|5966.575982361
94|PF|Lavoy Allen|3231.99143261416
95|SG/G|Jason Richardson|NA
96|PG|Jrue Holiday|6581.80941114861
97|C/PF|Spencer Hawes|3576.16215259245
98|SF|Dorell Wright|NA
99|SG|Nick Young|3616.87103094912
100|PG|Maalik Wayns|NA
101|SF/SG|Damien Wilkins|3053.8798218593
102|SF|Chandler Parsons|3589.60946207686
103|PF/SF|Marcus Morris|5463.52899484755
104|C|Omer Asik|3047.14192832386
105|SG/PG|James Harden|10693.3425102926
106|PG|Jeremy Lin|6302.18359165875
107|SG|Carlos Delfino|NA
108|C/PF|Greg Smith|NA
109|PG/G|Toney Douglas|3107.46363805385
110|SG|Daequan Cook|NA
111|SF|Tayshaun Prince|NA
112|PF|Jason Maxiell|NA
113|C/PF|Greg Monroe|4662.84403841897
114|PG|Rodney Stuckey|3309.04757304165
115|PG/SG|Brandon Knight|4531.90163335039
116|SG|Kim English|NA
117|PF|Jonas Jerebko|3253.34905509671
118|SF|Kyle Singler|2998.36942653482
119|PG|Will Bynum|NA
120|C|Andre Drummond|8499.92935292662
121|PF|James Johnson|5376.71633120105
122|PF|Jason Thompson|NA
123|C|DeMarcus Cousins|10420.1379038463
124|SG/SF|Tyreke Evans|6245.11210633024
125|PG|Isaiah Thomas|7549.43090228003
126|SG|Marcus Thornton|3151.27179329636
127|PF|Thomas Robinson|3425.12439503723
128|PG|Aaron Brooks|3040.75502391081
129|SF|Francisco Garcia|NA
130|C|Charles Hayes|NA
131|PG|Jimmer Fredette|NA
132|SF|Luol Deng|3816.26901425291
133|PF|Carlos Boozer|NA
134|C|Joakim Noah|4435.10736659749
135|SG|Richard Hamilton|NA
136|PG/SG|Kirk Hinrich|NA
137|PF|Taj Gibson|4945.36276382009
